user_id,item_id,item_type,action,rating_score,time_spent_seconds,device,difficulty_level,tags,timestamp,course_category,course_level,course_topic
U0142,I0128,assignment,skipped,,0,web,medium,Electronics,2025-11-13 13:45:16,Math,Basic,Algebra Fundamentals
U0060,I0077,reading,skipped,,0,mobile,hard,Python,2025-07-08 06:55:41,Math,Basic,Number Systems and Arithmetic
U0161,I0053,assignment,attempted,1.0,747,mobile,medium,Math,2025-09-04 10:58:06,Robotics,Basic,Introduction to Robotics
U0064,I0123,reading,completed,1.0,737,web,easy,Robotics,2025-09-14 23:09:00,Math,Basic,Algebra Fundamentals
U0161,I0141,reading,started,,275,mobile,easy,AI,2025-10-03 00:05:12,Math,Basic,Number Systems and Arithmetic
U0105,I0066,reading,viewed,,1737,web,easy,Data Science,2025-05-28 16:50:42,Robotics,Basic,Introduction to Robotics
U0143,I0033,quiz,skipped,,0,web,easy,Math,2025-08-09 16:52:36,AI,Basic,Introduction to AI Concepts
U0067,I0114,assignment,attempted,5.0,1288,mobile,hard,Statistics,2025-06-13 01:19:58,Math,Basic,Algebra Fundamentals
U0111,I0072,video,attempted,2.0,96,mobile,hard,AI,2025-03-23 11:48:30,Robotics,Intermediate,Kinematics and Dynamics
U0133,I0011,reading,attempted,1.0,1383,web,easy,Robotics,2025-09-23 00:12:15,Statistics,Intermediate,Probability Distributions
U0183,I0075,assignment,started,,1135,web,easy,Robotics,2025-02-17 09:20:01,Robotics,Intermediate,Control Systems
U0016,I0053,video,completed,5.0,1996,mobile,medium,Data Science,2025-03-15 02:48:28,Robotics,Basic,Introduction to Robotics
U0106,I0057,course,viewed,,1295,web,medium,Statistics,2025-10-08 04:17:10,Python,Basic,Control Flow and Loops
U0167,I0086,assignment,completed,1.0,250,mobile,medium,Robotics,2025-04-11 01:50:31,Statistics,Intermediate,Probability Distributions
U0046,I0053,video,completed,1.0,1633,mobile,hard,Python,2025-10-06 17:09:57,AI,Intermediate,Machine Learning Algorithms
U0025,I0010,quiz,completed,5.0,1394,web,easy,AI,2025-12-09 12:39:54,Robotics,Intermediate,Kinematics and Dynamics
U0087,I0146,reading,viewed,,709,web,hard,Electronics,2025-03-17 15:55:38,Statistics,Basic,Descriptive Statistics
U0129,I0097,quiz,attempted,2.0,1764,web,medium,Math,2025-08-01 00:18:33,Math,Intermediate,Linear Algebra
U0110,I0035,video,viewed,,140,mobile,hard,AI,2025-12-09 15:15:05,Electronics,Intermediate,Digital Electronics
U0059,I0042,video,viewed,,361,web,hard,AI,2025-07-22 09:35:34,Python,Basic,Variables and Data Types
U0142,I0110,assignment,started,,1498,mobile,easy,Robotics,2025-07-22 03:12:28,Robotics,Intermediate,Control Systems
U0169,I0085,reading,started,,273,web,medium,Python,2025-03-18 20:08:46,Robotics,Intermediate,Kinematics and Dynamics
U0125,I0134,reading,started,,935,web,medium,AI,2025-01-23 00:26:26,Statistics,Basic,Descriptive Statistics
U0076,I0144,video,completed,4.0,1327,mobile,medium,Robotics,2025-06-09 09:28:15,Electronics,Intermediate,Digital Electronics
U0004,I0013,reading,attempted,5.0,1182,mobile,easy,Electronics,2025-07-16 07:16:48,Electronics,Intermediate,Digital Electronics
U0178,I0131,assignment,started,,1726,web,medium,Electronics,2025-06-07 23:59:08,Electronics,Intermediate,Microcontrollers and Programming
U0083,I0072,reading,attempted,2.0,1122,web,hard,Robotics,2025-08-06 22:53:24,Python,Basic,Variables and Data Types
U0003,I0076,quiz,started,,256,web,medium,Python,2025-04-16 23:01:47,Statistics,Basic,Descriptive Statistics
U0024,I0033,reading,started,,1610,mobile,medium,Math,2025-10-14 11:06:13,Math,Basic,Algebra Fundamentals
U0168,I0066,quiz,viewed,,1190,web,hard,Python,2025-07-22 14:58:39,Statistics,Intermediate,Probability Distributions
U0199,I0066,reading,viewed,,428,web,hard,Robotics,2025-11-10 17:31:28,Electronics,Basic,Basic Circuit Components
U0119,I0031,course,viewed,,930,mobile,easy,Python,2025-08-28 23:34:15,Math,Basic,Algebra Fundamentals
U0031,I0096,assignment,viewed,,293,web,easy,Robotics,2025-07-06 19:45:24,Electronics,Intermediate,Microcontrollers and Programming
U0048,I0122,quiz,completed,1.0,1054,mobile,easy,Statistics,2025-07-05 18:22:17,Python,Basic,Introduction to Python
U0030,I0119,assignment,viewed,,604,mobile,easy,Math,2025-05-20 15:36:06,Statistics,Intermediate,Hypothesis Testing
U0062,I0055,reading,completed,4.0,234,web,hard,Math,2025-05-09 13:23:14,AI,Intermediate,Neural Networks Basics
U0111,I0076,quiz,started,,179,mobile,easy,Python,2025-12-12 04:33:32,Electronics,Intermediate,Microcontrollers and Programming
U0103,I0133,reading,completed,4.0,475,mobile,easy,Python,2025-07-02 14:00:16,Python,Basic,Introduction to Python
U0141,I0054,video,completed,5.0,1870,mobile,medium,Robotics,2025-03-21 08:11:54,Python,Basic,Control Flow and Loops
U0025,I0038,quiz,started,,1135,mobile,medium,Statistics,2025-01-17 17:51:26,Python,Basic,Introduction to Python
U0106,I0057,video,skipped,,0,web,medium,Python,2025-08-19 03:08:12,Robotics,Intermediate,Control Systems
U0110,I0063,quiz,skipped,,0,mobile,easy,Data Science,2025-04-11 00:08:09,Robotics,Intermediate,Kinematics and Dynamics
U0138,I0025,assignment,completed,2.0,255,web,medium,Python,2025-08-19 11:09:16,Robotics,Basic,Introduction to Robotics
U0052,I0074,video,skipped,,0,mobile,easy,Python,2025-11-07 23:27:59,Electronics,Intermediate,Digital Electronics
U0194,I0100,quiz,completed,4.0,1931,web,easy,Math,2025-11-22 02:28:15,Electronics,Intermediate,Digital Electronics
U0182,I0008,assignment,completed,1.0,1573,mobile,easy,Robotics,2025-11-16 19:48:08,Robotics,Basic,Introduction to Robotics
U0093,I0117,quiz,started,,1417,mobile,easy,Electronics,2025-12-09 12:05:46,AI,Intermediate,Machine Learning Algorithms
U0173,I0096,course,viewed,,1275,web,medium,Data Science,2025-09-06 07:32:55,Python,Basic,Variables and Data Types
U0029,I0131,assignment,viewed,,303,mobile,hard,Data Science,2025-10-13 01:22:24,Robotics,Intermediate,Kinematics and Dynamics
U0153,I0080,quiz,started,,1223,mobile,medium,Math,2025-09-30 02:38:13,Electronics,Basic,Basic Circuit Components
U0096,I0110,reading,viewed,,1058,mobile,easy,Data Science,2025-08-02 18:48:41,Statistics,Intermediate,Hypothesis Testing
